#Iterazione,Iterazioni spese in Line Search,Eta,Errore,Gradiente
0,0,-,210.07167075065226,1
1,1,1,31.8497086620316,2.3732826458904834
2,2,0.18771628426631087,26.005476320556323,2.0856043666141475
3,1,1,12.250916361043025,0.5437764910611237
4,1,1,10.646687256064745,0.3236367415396214
5,1,1,9.555713409018235,0.35805947512636654
6,1,1,6.883164310923479,0.4339424309450691
7,1,1,5.092821589920188,0.3527493258469495
8,1,1,4.634856168697781,0.21797415745255078
9,1,1,4.435487443053755,0.09872417344168731
10,1,1,4.33065929278952,0.07855140296003076
11,1,1,4.115611846686281,0.1110926180575987
12,1,1,3.8493391134657777,0.14725100829226145
13,1,1,3.5454351553528785,0.09363907205397327
14,1,1,3.2958002622465443,0.04673234518649546
15,1,1,3.1851191581277836,0.04765389532970484
16,1,1,3.0775999128950753,0.03998047726579991
17,1,1,2.9394496031303268,0.03718286330422536
18,1,1,2.870260048523642,0.06008207743770497
19,1,1,2.835657896391071,0.026947566986205606
20,1,1,2.813890200649216,0.018835116039021955
21,1,1,2.796840642516388,0.023334923610166262
22,1,1,2.705806086601652,0.029999106183435043
23,1,1,2.623023071260082,0.08640481178287607
24,1,1,2.517845886578586,0.0389882112043445
25,1,1,2.486264380531065,0.02425150528607582
26,1,1,2.4416652658631834,0.020859718250720347
27,1,1,2.3886485844236076,0.03215289223640499
28,1,1,2.357522920312822,0.017973257040249747
29,1,1,2.3010150825711686,0.0362223304279419
30,1,1,2.2554647974499837,0.03855092627058634
31,1,1,2.197674269860318,0.03014555333142093
32,1,1,2.150622705994876,0.01832847099602231
33,1,1,2.095763489608044,0.02110331509217129
34,1,1,2.0666650775159923,0.031479868853806
35,1,1,2.038575751669867,0.016536970615977302
36,1,1,2.025874575074962,0.013157650464012665
37,1,1,2.011640851580421,0.01156299943319386
38,1,1,1.974281228010947,0.027743126087445502
39,2,0.28962453315621217,1.9642417071450131,0.014679598220060286
40,1,1,1.952583038431098,0.012395707301893173
41,1,1,1.9384970322274933,0.011872723743404902
42,1,1,1.9126606816435583,0.017211464505611996
43,1,1,1.8892034999622458,0.01801103500597314
44,1,1,1.8712270651377874,0.011735930402638324
45,1,1,1.8571894208132207,0.009853237379878312
46,1,1,1.8430535141364128,0.009612948580462733
47,1,1,1.8277126570866344,0.018364750339060366
48,1,1,1.8139777441437799,0.010361306289642306
49,1,1,1.8048326887709394,0.011907636109718267
50,1,1,1.792151098809585,0.011328379722553478
51,2,0.38391499195748374,1.7814319888296053,0.01728347884632191
52,1,1,1.7639156481650937,0.012702845083899062
53,1,1,1.752715754219317,0.011681980428883718
54,1,1,1.736305606175601,0.009987054795042534
55,1,1,1.7295820841244163,0.009442672888399355
56,1,1,1.721818027110905,0.009202123770405071
57,1,1,1.7159513380270779,0.007569635208487529
58,1,1,1.7084037932375187,0.008802968954019207
59,1,1,1.7022468916609244,0.0073616498954645814
60,1,1,1.6957974744976654,0.010184040575575806
61,1,1,1.6881067465265178,0.008496551338731624
62,1,1,1.6807102459234518,0.005899017745729147
63,1,1,1.674665453352062,0.007377789624972327
64,1,1,1.6694927200475211,0.008796493079626846
65,1,1,1.666245868583337,0.00580034041156298
66,1,1,1.6618412907170694,0.007335189268704625
67,1,1,1.6579794504204406,0.006835204192918068
68,1,1,1.6546499165937834,0.01180294795575505
69,1,1,1.6511251853717794,0.005045570182900811
70,1,1,1.6482219172506372,0.005639412221074691
71,1,1,1.6450218079144276,0.0059026206041391475
72,1,1,1.6408643071724769,0.005084083649099869
73,1,1,1.6364329613402655,0.007079142633703728
74,1,1,1.6335454952295434,0.00588295930712934
75,1,1,1.630838968897508,0.005394272115013716
76,1,1,1.6266349714791484,0.005557944511832065
77,1,1,1.6214112136588317,0.0061479173718262305
78,1,1,1.6181033146366337,0.014925369481618201
79,1,1,1.6151471229277647,0.005983297330477053
80,1,1,1.6138814565241577,0.004875503586903317
81,1,1,1.6127178492187384,0.007638260907523537
82,1,1,1.6114532500513534,0.0060151187640335715
83,1,1,1.61007891241224,0.004902095665132025
84,1,1,1.607957045009011,0.0052303357568181845
85,1,1,1.6056671884045057,0.005115547197707446
86,1,1,1.601911772310286,0.0058159360804956785
87,1,1,1.5984139877215906,0.004358429789451388
88,1,1,1.5963823373356876,0.005755593305477316
89,1,1,1.5945902987215121,0.004948586186711465
90,1,1,1.5929023194156187,0.0051552757445412
91,1,1,1.5896845735272889,0.00842328217593231
92,1,1,1.5864320836636532,0.004952088899681247
93,1,1,1.5843509863891745,0.0044036206452364455
94,1,1,1.5817320586403574,0.003702224746935107
95,1,1,1.5790847201788523,0.005457867517796975
96,1,1,1.576755226354098,0.0037988610581080125
97,1,1,1.5748506921667975,0.004219731777663133
98,1,1,1.5720481710697276,0.006484692464147646
99,1,1,1.5696529205699874,0.0054976901227619685
100,1,1,1.568270232932047,0.0052950539838362565
101,1,1,1.567196480281086,0.0039640614139100075
102,1,1,1.5654117258246736,0.003067709319238065
103,1,1,1.5634946138822818,0.004239357098190875
104,1,1,1.5623018252514986,0.006203544045069854
105,1,1,1.5613136728886783,0.0037662489522237975
106,1,1,1.5607231414318314,0.0034847724424827554
107,1,1,1.5599097886581437,0.004057578137801867
108,1,1,1.5590433519310838,0.00334415386130751
109,1,1,1.5581318984863475,0.0028293191908318237
110,1,1,1.556862460154147,0.0027760547958243418
111,1,1,1.555816597587592,0.0028491895147139627
112,1,1,1.5548881405537522,0.003158117122791788
113,1,1,1.5535909436487771,0.0036473666317575356
114,1,1,1.5527406178763419,0.002001008993190197
115,1,1,1.552170041281154,0.0021882124094555738
116,1,1,1.5513555455558294,0.0020044482011260254
117,1,1,1.550530999050378,0.0020056479277925725
118,1,1,1.5496346668154348,0.004154902657093937
119,1,1,1.548752285975995,0.0022357925801636327
120,1,1,1.5482374853172767,0.0032545538875327798
121,1,1,1.547755948830491,0.0016417421421958895
122,1,1,1.547420280580341,0.00201834399938138
123,1,1,1.5469008713121242,0.0023519729375536705
124,1,1,1.5461691089616123,0.0016913981807546382
125,1,1,1.5456539255934125,0.0025519334443135197
126,1,1,1.5451630931851814,0.002368761754571609
127,1,1,1.544839484304931,0.0020295656862064863
128,1,1,1.5444165128876517,0.0018128450932597502
129,1,1,1.5439381378447,0.0019112081763571118
130,1,1,1.5436218544766536,0.0015744704317633596
131,1,1,1.5433656557685689,0.0019150810459439135
132,1,1,1.5431109730587587,0.0012833163217988957
133,1,1,1.542840822526065,0.0013074427300904393
134,1,1,1.5423814066825527,0.0022889633051208567
135,1,1,1.541912844516582,0.002418373418003649
136,1,1,1.541457008067809,0.002500712792921769
137,1,1,1.5409421311871399,0.0016990994333949566
138,1,1,1.540607791332035,0.001872886550192274
139,1,1,1.5402026990339934,0.0020913633726189046
140,1,1,1.5399017456595465,0.0017547830882988016
141,1,1,1.5394960708170646,0.002148760061008633
142,1,1,1.5391410903507645,0.0036674095898473393
143,1,1,1.538876557407539,0.001818554269617577
144,1,1,1.538641744302975,0.0024087229977900826
145,1,1,1.5382880144156832,0.002677793891326348
146,1,1,1.5377712756224209,0.0020455171835800155
147,1,1,1.5370902515570894,0.0012763815610060025
148,1,1,1.5368045834568966,0.0018101244462212318
149,1,1,1.5365612459317133,0.0012347167609988482
150,1,1,1.5362931753132516,0.0014475930961061318
151,1,1,1.5359353234126578,0.0018160428568831934
152,1,1,1.535689869226836,0.0014572857160871204
153,1,1,1.5354072567393966,0.0022061856629407304
154,1,1,1.535025110836389,0.0015400327044833785
155,1,1,1.534759140841294,0.0013576032968310833
156,1,1,1.5344621536353134,0.0017138740253277007
157,1,1,1.5341604833837441,0.0015462057741783357
158,1,1,1.5337321971453246,0.0018230896686898784
